CustomerID,Lookalike_1,Lookalike_2,Lookalike_3
C0001,C0076:0.9446,C0011:0.9432,C0137:0.9298
C0002,C0025:0.8750,C0157:0.8581,C0121:0.8524
C0003,C0190:0.9546,C0091:0.9086,C0174:0.9045
C0004,C0175:0.9434,C0109:0.9369,C0101:0.9319
C0005,C0186:0.9127,C0103:0.8282,C0131:0.8167
C0006,C0171:0.9533,C0107:0.9446,C0168:0.9300
C0007,C0078:0.9935,C0146:0.9875,C0092:0.9763
C0008,C0109:0.9596,C0034:0.9291,C0084:0.9177
C0009,C0061:0.9843,C0167:0.9547,C0128:0.9283
C0010,C0111:0.9570,C0121:0.9393,C0027:0.9352
C0011,C0001:0.9432,C0076:0.8773,C0184:0.8756
C0012,C0102:0.9505,C0099:0.9108,C0113:0.9108
C0013,C0148:0.9869,C0163:0.9490,C0096:0.8855
C0014,C0097:0.9675,C0119:0.9660,C0063:0.9580
C0015,C0058:0.9776,C0042:0.9404,C0092:0.9381
C0016,C0050:0.9721,C0079:0.9191,C0125:0.8953
C0017,C0041:0.9770,C0124:0.9729,C0075:0.9613
C0018,C0068:0.9630,C0065:0.8847,C0008:0.8441
C0019,C0073:0.9708,C0172:0.9479,C0199:0.9197
C0020,C0015:0.9315,C0128:0.9302,C0058:0.9201
